type_id	alias	normalized_alias	alias_kind
MT-331BE0A5CDA3	得力多功能椅子	得力多功能椅子	governance
MT-346146BAEDB6	304不锈钢门柱吸	304不锈钢门柱吸	governance
MT-34F59C9A2527	1.2药芯焊丝	1.2药芯焊丝	governance
MT-34FFED3870B0	不锈钢合页	不锈钢合页	governance
MT-34FFED3870B0	铁合页	铁合页	governance
MT-3526C7D9267E	PPR热熔机	ppr热熔机	governance
MT-35B16893CFEE	打磨钢丝轮	打磨钢丝轮	governance
MT-35CD0A39FE33	70寸电视支架	70寸电视支架	governance
MT-3602A5B69E2B	不锈钢铭牌	不锈钢铭牌	governance
MT-3602A5B69E2B	名牌	名牌	governance
MT-36088DD38ECC	钢板夹	钢板夹	governance
MT-36F5A07C4343	氧气管接头	氧气管接头	governance
MT-3790922C006B	电箱	电箱	governance
MT-38AC8CED851A	户外防水网线连接器	户外防水网线连接器	governance
MT-38AC8CED851A	防水网线接头	防水网线接头	governance
MT-38EA50E40EC6	尼龙扎带	尼龙扎带	governance
MT-3925E7EC5DFC	铁灰斗	铁灰斗	governance
MT-3A21FD63066A	金属高压水枪	金属高压水枪	governance
MT-3A21FD63066A	高压水枪	高压水枪	governance
MT-3A8EB2136FA8	搅拌机叶轮	搅拌机叶轮	governance
MT-3ABD6EEC75F8	钳形表	钳形表	governance
MT-3B3AAD7606BA	密遮阳网	密遮阳网	governance
MT-3BA251D3B7D0	环卫夹	环卫夹	governance
MT-3BF81E32BAFC	三和喷漆	三和喷漆	governance
MT-3BF81E32BAFC	喷漆	喷漆	governance
MT-3D0E3C5F5114	锂电池角磨机	锂电池角磨机	governance
MT-3D0E3C5F5114	锂电角磨机	锂电角磨机	governance
MT-3DD3218D47DD	电柜接地跨线	电柜接地跨线	governance
MT-3EBDBA585441	3M防尘面罩	3m防尘面罩	governance
MT-407BFFE2BB66	泡沫双面胶	泡沫双面胶	governance
MT-407BFFE2BB66	海绵双面胶	海绵双面胶	governance
MT-40E6FCE10B2E	钢焊接件	钢焊接件	governance
MT-41A91AC401A0	直角接头	直角接头	governance
MT-428791A708F5	三色彩条布	三色彩条布	governance
MT-43A2FAACE87F	充电电钻	充电电钻	governance
MT-43A2FAACE87F	锂电手电钻套装	锂电手电钻套装	governance
MT-43A2FAACE87F	锂电池电钻	锂电池电钻	governance
MT-43A2FAACE87F	锂电钻	锂电钻	governance
MT-448156536DBB	闪光蜂鸣器	闪光蜂鸣器	governance
MT-457D7DF9431C	注浆机	注浆机	governance
MT-457D7DF9431C	灌浆机	灌浆机	governance
MT-461381BDDA89	加厚塑料凳	加厚塑料凳	governance
MT-461381BDDA89	塑料凳	塑料凳	governance
MT-464882904351	重型梅花敲击扳手	重型梅花敲击扳手	governance
MT-46D08AC47729	角钢加工件	角钢加工件	governance
MT-46D08AC47729	角铁加工件	角铁加工件	governance
MT-46E3EA1E3D56	蛇皮袋	蛇皮袋	governance
MT-471094B784D5	台式砂轮机	台式砂轮机	governance
MT-48004B85E0F0	纱布大包	纱布大包	governance
MT-48207EB01C9C	十字测钉	十字测钉	governance
MT-490567281559	大气动扳手	大气动扳手	governance
MT-4984424BA111	吊钩保险卡	吊钩保险卡	governance
MT-4984424BA111	行车吊钩保险扣	行车吊钩保险扣	governance
MT-49B661D5EB3F	螺纹钢筋	螺纹钢筋	governance
MT-49B661D5EB3F	钢筋	钢筋	governance
MT-4A4F76AB7ED4	办公室门锁	办公室门锁	governance
MT-4A4F76AB7ED4	防盗门锁	防盗门锁	governance
MT-4BA64E52D4BF	冲孔不锈钢板	冲孔不锈钢板	governance
MT-4BD18858B956	大遮阳伞	大遮阳伞	governance
MT-4CDABCA53509	割枪	割枪	governance
MT-4CDABCA53509	割枪100型长款	割枪100型长款	governance
MT-4CDDDC2E2942	加厚塑料方凳	加厚塑料方凳	governance
MT-4CDDDC2E2942	塑料方凳	塑料方凳	governance
MT-4CF6625D5C80	抱箍加工件	抱箍加工件	governance
MT-4CF6625D5C80	钢管抱箍	钢管抱箍	governance
MT-4D69FA0E3D9A	麻花钻	麻花钻	governance
MT-4D8AF802D2DB	回力雨鞋	回力雨鞋	governance
MT-4D8AF802D2DB	高筒雨鞋	高筒雨鞋	governance
MT-4E9E005E2362	OT端子	ot端子	governance
MT-4E9E005E2362	冷压线鼻端子	冷压线鼻端子	governance
MT-4F3CD78FEF36	拉杆销子	拉杆销子	governance
MT-4F3CD78FEF36	长销	长销	governance
MT-4F7924C8DD76	封箱带	封箱带	governance
MT-4F7924C8DD76	透明胶带	透明胶带	governance
MT-4FDE0862D5F4	防火涂层测厚仪	防火涂层测厚仪	governance
MT-51BC2EE91FC8	高压钢丝管	高压钢丝管	governance
MT-52E9A8C12AC5	地线	地线	governance
MT-5378004E11ED	泥浆管接头	泥浆管接头	governance
MT-54E76A58AED6	加厚气泡膜	加厚气泡膜	governance
MT-551F0DB8A5F1	劳动车	劳动车	governance
MT-558C48CF98CF	断丝取出器	断丝取出器	governance
MT-5609B4074F35	止血贴	止血贴	governance
MT-5665A4B7B843	定制橡胶条/板	定制橡胶条板	governance
MT-582B7CE5942A	地坪漆底漆	地坪漆底漆	governance
MT-582B7CE5942A	好地坪漆底漆	好地坪漆底漆	governance
MT-58E4C2C11EDE	钢卷尺	钢卷尺	governance
MT-5904A7482737	美纹纸	美纹纸	governance
MT-598D55A039B9	焊罩镜片 白 黑	焊罩镜片白黑	governance
MT-5C0376DF5B15	高帮劳保鞋	高帮劳保鞋	governance
MT-5C4C39907424	棉被	棉被	governance
MT-5C4C39907424	蚕丝被	蚕丝被	governance
MT-5C5636472E9D	铝合金窗	铝合金窗	governance
MT-5E0856208ABB	牙规	牙规	governance
MT-5E0BEBC918C1	吊包	吊包	governance
MT-5EDDDBB412E4	排气扇	排气扇	governance
MT-5FDDB6494DEB	漆刷	漆刷	governance
MT-5FDDB6494DEB	羊毛刷	羊毛刷	governance
MT-604A29470741	加厚周转箱	加厚周转箱	governance
MT-604A29470741	带盖周转箱	带盖周转箱	governance
MT-60B184F9C57A	窗帘架拉链	窗帘架拉链	governance
MT-62AB043F587F	500型5米线带焊枪	500型5米线带焊枪	governance
MT-63EC0EF307BC	内墙乳胶漆	内墙乳胶漆	governance
MT-63EC0EF307BC	外墙乳胶漆	外墙乳胶漆	governance
MT-6439BA44CB61	不锈钢数字牌	不锈钢数字牌	governance
MT-6439BA44CB61	不锈钢标志牌	不锈钢标志牌	governance
MT-6439BA44CB61	货号牌	货号牌	governance
MT-65DE63FDC3EB	电瓶夹带线	电瓶夹带线	governance
MT-663D0AD47CE1	定做刮泥板	定做刮泥板	governance
MT-67888F35BD96	黄油	黄油	governance
MT-68D70D679F4F	地线夹	地线夹	governance
MT-68D70D679F4F	电焊机接线夹	电焊机接线夹	governance
MT-69E7B9B860AF	镂空标识字牌	镂空标识字牌	governance
MT-6AC66FBA9A6C	镂空数字喷涂模板	镂空数字喷涂模板	governance
MT-6BB67091F91F	定制钢板	定制钢板	governance
MT-6BB67091F91F	钢板加工件	钢板加工件	governance
MT-6C33E0A79B78	LED灯泡	led灯泡	governance
MT-6C87FDD9B380	止水针头	止水针头	governance
MT-6C87FDD9B380	注浆针头	注浆针头	governance
MT-6CD7352E5A2C	氧气减压阀	氧气减压阀	governance
MT-6CE0EFC00956	空开	空开	governance
MT-6CE0EFC00956	空气开关	空气开关	governance
MT-6D2BFB2BBF33	方钢卡扣式双层床	方钢卡扣式双层床	governance
MT-6D9419806083	高压弯头	高压弯头	governance
MT-6E6D6F625138	电力清洗剂	电力清洗剂	governance
MT-6FFBB6BCE331	无缝管加工件	无缝管加工件	governance
MT-6FFBB6BCE331	钢管加工件	钢管加工件	governance
MT-70CAE30D6DCC	C型不锈钢滑槽	c型不锈钢滑槽	governance
MT-70CAE30D6DCC	滑槽	滑槽	governance
MT-72DE55895C88	绷带	绷带	governance
MT-730ABDA2E578	铁红防锈漆	铁红防锈漆	governance
MT-73EF510574D5	鸭嘴万能吊具	鸭嘴万能吊具	governance
MT-740837097BDE	加厚卡槽	加厚卡槽	governance
MT-7428CECCA622	二保焊机分流器	二保焊机分流器	governance
MT-744EFD05B826	挂壁风扇	挂壁风扇	governance
MT-744EFD05B826	遥控挂壁风扇	遥控挂壁风扇	governance
MT-758E758E96FA	镀锌板剪刀	镀锌板剪刀	governance
MT-75C7EB27E458	电钻夹头钥匙	电钻夹头钥匙	governance
MT-75FB55415168	喷咀	喷咀	governance
MT-76D7E07CE67E	螺杆泵水封	螺杆泵水封	governance
MT-77D73CEF4ECF	调和油漆	调和油漆	governance
MT-77F38575DBC0	电缆线	电缆线	governance
MT-786E1F5DE6F1	20L汽油桶	20l汽油桶	governance
MT-78AB084102B5	合成纤维垫块	合成纤维垫块	governance
MT-794232B0188E	带盖方桶	带盖方桶	governance
MT-798D6CADF8E3	接线端子排	接线端子排	governance
MT-79A4EC7E0BC9	蝴蝶扣	蝴蝶扣	governance
MT-79A4EC7E0BC9	蝴蝶扣子母环	蝴蝶扣子母环	governance
MT-7A225E74D037	高温黄油	高温黄油	governance
MT-7AAB9B7E4983	警示反光胶带	警示反光胶带	governance
MT-7B20DB7429C9	漏保	漏保	governance
MT-7B20DB7429C9	漏电保护开关	漏电保护开关	governance
MT-7B5749411F6B	HL-20齿轮油	hl20齿轮油	governance
MT-7B6E8B21E377	发泡剂	发泡剂	governance
MT-7B6E8B21E377	发泡胶	发泡胶	governance
MT-7B6E8B21E377	聚氨酯泡沫填缝剂	聚氨酯泡沫填缝剂	governance
MT-7BAFDC89B00A	二氧化碳减压阀总成	二氧化碳减压阀总成	governance
MT-7CC4128E26E2	502瞬干胶	502瞬干胶	governance
MT-7CC4128E26E2	502胶水	502胶水	governance
MT-7D0D5817EC9E	镀锌管	镀锌管	governance
MT-7D0D5817EC9E	镀锌钢管	镀锌钢管	governance
MT-7E3ED09831EA	变频空调	变频空调	governance
MT-7E3ED09831EA	格力3匹变频空调	格力3匹变频空调	governance
MT-7EE0F8C042F1	乙炔检测表	乙炔检测表	governance
MT-7F1C66A0A4C6	镀锌铁皮	镀锌铁皮	governance
MT-7FC51D35E452	沉降观测钉带牌	沉降观测钉带牌	governance
MT-8042D2CB901C	抗盐膨润土	抗盐膨润土	governance
MT-80E4695971B8	拖线板	拖线板	governance
MT-80E4695971B8	插排	插排	governance
MT-80FD0107910D	漏电开关	漏电开关	governance
MT-8153F2516072	五坑尖凿	五坑尖凿	governance
MT-8155D2AB2365	地坪漆底漆固化剂	地坪漆底漆固化剂	governance
MT-8155D2AB2365	地坪漆面漆固化剂	地坪漆面漆固化剂	governance
MT-81592C2960DC	平光防护眼镜	平光防护眼镜	governance
MT-81592C2960DC	打磨眼镜	打磨眼镜	governance
MT-81592C2960DC	护目镜	护目镜	governance
MT-816453091572	乳胶手套	乳胶手套	governance
MT-816453091572	帆布手套	帆布手套	governance
MT-816453091572	手套	手套	governance
MT-816453091572	挂胶手套	挂胶手套	governance
MT-816453091572	牛筋手套	牛筋手套	governance
MT-81B7BBE8C359	美工刀片	美工刀片	governance
MT-81B7BBE8C359	锐锋刀片	锐锋刀片	governance
MT-822ADF0FDB0C	三通抱箍	三通抱箍	governance
MT-8428B9041B3D	加工后备套夹子	加工后备套夹子	governance
MT-852BD11EF6B0	折叠圆桌	折叠圆桌	governance
MT-852FF9EFC7D2	洁厕灵	洁厕灵	governance
MT-855CF8E1ECC2	加厚卡箍	加厚卡箍	governance
MT-855CF8E1ECC2	焊接卡箍	焊接卡箍	governance
MT-87851860CEC6	铜接头	铜接头	governance
MT-87851860CEC6	铜连接管	铜连接管	governance
MT-879D8DB4CDEB	五点式双钩安全绳	五点式双钩安全绳	governance
MT-87A62D6491DC	加气混凝土砌块	加气混凝土砌块	governance
MT-89200DAE5BFD	不锈钢条	不锈钢条	governance
MT-8924C32C14A4	四件套	四件套	governance
MT-8924C32C14A4	床上四件套	床上四件套	governance
MT-89329144931B	不锈钢挂锁	不锈钢挂锁	governance
MT-89329144931B	通开铜挂锁	通开铜挂锁	governance
MT-89329144931B	铜挂锁	铜挂锁	governance
MT-8985890D2FAF	加厚油布	加厚油布	governance
MT-8985890D2FAF	油布4米*6米	油布4米*6米	governance
MT-89CD8A3EE1B8	AFC双联件	afc双联件	governance
MT-8ADBDA416038	气体软管卡箍	气体软管卡箍	governance
MT-8C73375DC251	多层实木板	多层实木板	governance
MT-8DBBFA396E41	电镐碳刷	电镐碳刷	governance
MT-8E0745C32BBC	玻璃胶枪	玻璃胶枪	governance
MT-8E0745C32BBC	硅胶枪	硅胶枪	governance
MT-8E0745C32BBC	软胶枪	软胶枪	governance
MT-8E1D58C269E7	合金钢机密封	合金钢机密封	governance
MT-8EE116C4D2BC	锰钢链条	锰钢链条	governance
MT-8EF3985A578D	钢筋方形箍	钢筋方形箍	governance
MT-8EFBFA8E3D41	清洗剂泵头	清洗剂泵头	governance
MT-8EFBFA8E3D41	黑猫清洗剂泵头	黑猫清洗剂泵头	governance
MT-8F42525F9336	电焊机含线	电焊机含线	governance
MT-8F42525F9336	电焊机套装	电焊机套装	governance
MT-8F57231653AF	密目网	密目网	governance
MT-8F77E994945B	红模板	红模板	governance
MT-8F77E994945B	黑模板	黑模板	governance
MT-8FA92C8A8A93	焊机快连接头	焊机快连接头	governance
MT-8FA92C8A8A93	电焊快速接头	电焊快速接头	governance
MT-90CB1907A220	不锈钢丝网	不锈钢丝网	governance
MT-90CB1907A220	不锈钢铁丝网	不锈钢铁丝网	governance
MT-929A65CDC793	组合枪头	组合枪头	governance
MT-929A65CDC793	铝合金枪头	铝合金枪头	governance
MT-929A65CDC793	高压枪头	高压枪头	governance
MT-92AF8B17F0A7	乙炔压力表	乙炔压力表	governance
MT-92AF8B17F0A7	乙炔表	乙炔表	governance
MT-9326FEAEADF8	钢直尺	钢直尺	governance
MT-9349D8EAF899	5寸不锈钢抽锁	5寸不锈钢抽锁	governance
MT-934FB9788B17	PU气管	pu气管	governance
MT-934FB9788B17	气动气管	气动气管	governance
MT-93AEECB9A5EC	防尘面罩过滤芯	防尘面罩过滤芯	governance
MT-93EB26BB8A86	P80等离子割嘴	p80等离子割嘴	governance
MT-94B7581F516A	切割嘴	切割嘴	governance
MT-94B7581F516A	割咀	割咀	governance
MT-962655832D53	液压扳手套装	液压扳手套装	governance
MT-963325DAF9C0	绝缘摇表	绝缘摇表	governance
MT-98DBD8B81980	钢丝绳夹	钢丝绳夹	governance
MT-98DBD8B81980	钢丝绳夹头	钢丝绳夹头	governance
MT-98DBD8B81980	钢丝绳扣子	钢丝绳扣子	governance
MT-9985D8D7287B	混凝土模具	混凝土模具	governance
MT-998F41BCECD4	注浆机活塞	注浆机活塞	governance
MT-99C49417346C	三和AB胶	三和ab胶	governance
MT-99C49417346C	卡夹特AB胶	卡夹特ab胶	governance
MT-9A27BC633E40	T型套筒扳手套装	t型套筒扳手套装	governance
MT-9A3C4FF48BC3	吊带	吊带	governance
MT-9A3C4FF48BC3	扁平吊装带	扁平吊装带	governance
MT-9A771CE69500	塑料箱	塑料箱	governance
MT-9A771CE69500	整理箱	整理箱	governance
MT-9A7B6CDDA0CC	铝合金梯子	铝合金梯子	governance
MT-9D7DD104AF02	二氧化碳导电嘴	二氧化碳导电嘴	governance
MT-9D7DD104AF02	铜导电嘴	铜导电嘴	governance
MT-9D8038C97A29	方木	方木	governance
MT-9D9CD04D7D99	油雾专用油	油雾专用油	governance
MT-9D9CD04D7D99	油雾器专用油	油雾器专用油	governance
MT-9E65A5E71B56	油污净	油污净	governance
MT-9E65A5E71B56	重油污清洗剂	重油污清洗剂	governance
MT-9E65A5E71B56	除污剂	除污剂	governance
MT-9EDEF9F67978	一体梯凳	一体梯凳	governance
MT-A01005FE6F07	老虎钳	老虎钳	governance
MT-A01005FE6F07	胶钳	胶钳	governance
MT-A1819E1F6BDE	加长接头	加长接头	governance
MT-A1819E1F6BDE	外接头	外接头	governance
MT-A1819E1F6BDE	接头	接头	governance
MT-A1819E1F6BDE	高压接头	高压接头	governance
MT-A2A4E903909C	方柱加工件	方柱加工件	governance
MT-A503CEBE22B8	PE管卡箍组件	pe管卡箍组件	governance
MT-A5851B319D1A	钢丝绳专用剂	钢丝绳专用剂	governance
MT-A5851B319D1A	钢丝绳润滑剂	钢丝绳润滑剂	governance
MT-A638D24D43BF	焊接卡扣	焊接卡扣	governance
MT-A638D24D43BF	铁圈卡扣	铁圈卡扣	governance
MT-A6DDF67DC33F	2cm橡胶板	2cm橡胶板	governance
MT-A71425EF4FD1	安全帽一字带	安全帽一字带	governance
MT-A733EA92CF1D	消防枪头管接头套件	消防枪头管接头套件	governance
MT-A8FA3D3804D6	鱼跃电子血压计	鱼跃电子血压计	governance
MT-A96200DCE10B	高压油压表	高压油压表	governance
MT-A9678233B125	多功能喷火枪	多功能喷火枪	governance
MT-AA9C9439CC7C	乙炔表	乙炔表	governance
MT-AA9C9439CC7C	二氧化碳表	二氧化碳表	governance
MT-AA9C9439CC7C	氧气表	氧气表	governance
MT-AA9C9439CC7C	氩气表	氩气表	governance
MT-AB730E92CF01	不锈钢窗护栏	不锈钢窗护栏	governance
MT-AB9C49CCED29	起重链条调节器	起重链条调节器	governance
MT-AC69232F3EE7	线鼻子	线鼻子	governance
MT-AC69232F3EE7	铜鼻子	铜鼻子	governance
MT-ACDB3D621DB0	注射式植筋胶	注射式植筋胶	governance
MT-ACECB926948D	苏泊尔热水壶	苏泊尔热水壶	governance
MT-AE1D847DF5D5	得力500ML除胶剂	得力500ml除胶剂	governance
MT-B045D28A7E61	端子压线钳	端子压线钳	governance
MT-B0CBC9496C3D	灯头	灯头	governance
MT-B0CBC9496C3D	螺口灯头	螺口灯头	governance
MT-B1ACC993318A	PPR剪刀	ppr剪刀	governance
MT-B1ACC993318A	PPR管剪	ppr管剪	governance
MT-B1B04335689F	10针防尘网	10针防尘网	governance
MT-B1ED50F1FA25	钢刷	钢刷	governance
MT-B26616B94C6A	离心机滤网	离心机滤网	governance
MT-B31CC9A0EEF0	卡箍	卡箍	governance
MT-B3C8B06BB00B	气管三通	气管三通	governance
MT-B42C3BFF9948	丙酮10KG	丙酮10kg	governance
MT-B47C75759752	乙炔管	乙炔管	governance
MT-B47C75759752	氧气乙炔管	氧气乙炔管	governance
MT-B47C75759752	氧气管	氧气管	governance
MT-B47C75759752	氧气胶管	氧气胶管	governance
MT-B4A4B158BCE0	内六角扳手套装	内六角扳手套装	governance
MT-B512EDF57C8A	电焊条	电焊条	governance
MT-B59BF9EA2E72	五点式欧式安全带	五点式欧式安全带	governance
MT-B59BF9EA2E72	全身大钩安全带	全身大钩安全带	governance
MT-B5E58D50AAA2	内外四方接头	内外四方接头	governance
MT-B63CE3EC9C1A	400切割机防护罩	400切割机防护罩	governance
MT-B6BEC02712CE	多点黄油泵	多点黄油泵	governance
MT-B6BEC02712CE	电动油脂泵	电动油脂泵	governance
MT-B77F8002D76A	双面胶	双面胶	governance
MT-B80D0388DD31	派克O型圈套装	派克o型圈套装	governance
MT-B90BAECA3E7D	管型接线端子	管型接线端子	governance
MT-BBB7EE1AB632	电笔	电笔	governance
MT-BBC081B1692C	隔环加工件	隔环加工件	governance
MT-BC153AE7951D	不锈钢外门锁扣	不锈钢外门锁扣	governance
MT-BCE17DFCB784	十字批头套装	十字批头套装	governance
MT-BCE33FF0CA86	钳型万用表	钳型万用表	governance
MT-BD94BCAECA7A	灭火器箱子	灭火器箱子	governance
MT-C0368FC166E7	定向轮	定向轮	governance
MT-C097BA8EA2A8	松香水12KG	松香水12kg	governance
MT-C22E88CCC2FB	不锈钢黄油嘴接头	不锈钢黄油嘴接头	governance
MT-C3EC9D599373	夹板加工件	夹板加工件	governance
MT-C44A1A5101C5	水性聚氨酯	水性聚氨酯	governance
MT-C44A1A5101C5	油性聚氨酯	油性聚氨酯	governance
MT-C462BB4D9550	焊枪	焊枪	governance
MT-C5CBA3456068	冲孔冲	冲孔冲	governance
MT-C8699FA99171	三角手拉葫芦	三角手拉葫芦	governance
MT-C87204B06C74	外丝直通	外丝直通	governance
MT-C87204B06C74	快拧外丝直接	快拧外丝直接	governance
MT-C87204B06C74	直接接头	直接接头	governance
MT-C9482E8FF4CC	万向车轮	万向车轮	governance
MT-C9482E8FF4CC	万向轮	万向轮	governance
MT-CC3DAB6A510F	排污泵	排污泵	governance
MT-CD35747D7362	聚氨酯枪头	聚氨酯枪头	governance
MT-CDF057705A1A	15寸专业长款电镐	15寸专业长款电镐	governance
MT-CE8012A8F389	离心机钢板	离心机钢板	governance
MT-CF90BC99F8B7	铜塞尺	铜塞尺	governance
MT-D0A9C0182738	316漏斗	316漏斗	governance
MT-D0A9C0182738	不锈钢漏斗	不锈钢漏斗	governance
MT-D0CD4AFEC0F0	10#自封袋	10#自封袋	governance
MT-D14D58B7721A	五坑三槽钻头	五坑三槽钻头	governance
MT-D14D58B7721A	五孔钻头	五孔钻头	governance
MT-D18BFC170626	扁铁	扁铁	governance
MT-D2C4339DFB76	气管直通	气管直通	governance
MT-D349133A39AF	万能表	万能表	governance
MT-D674E8A09E94	电工胶布	电工胶布	governance
MT-D674E8A09E94	电胶布	电胶布	governance
MT-D6E4F9E1A829	保鲜膜大卷	保鲜膜大卷	governance
MT-D766B7B3385B	不锈钢控制箱	不锈钢控制箱	governance
MT-D7828CB3BA0B	警示反光踢脚板	警示反光踢脚板	governance
MT-D7F37815CD23	马路切片	马路切片	governance
MT-D81E1CB5E7D9	管片强力胶	管片强力胶	governance
MT-D84E754C5B9D	70*50纸箱	70*50纸箱	governance
MT-D894CDB2CC17	橡胶平板输送带	橡胶平板输送带	governance
MT-DAEE38B914A7	M20丝锥	m20丝锥	governance
MT-DB161D20A503	钢套	钢套	governance
MT-DC4B21BBB976	振动电机套装	振动电机套装	governance
MT-DC4B21BBB976	进口振动电机整套	进口振动电机整套	governance
MT-DC561FA43E8E	500A电焊钳	500a电焊钳	governance
MT-DC561FA43E8E	电焊钳600A	电焊钳600a	governance
MT-DD8C081E0D76	6.5升不锈钢水壶	6.5升不锈钢水壶	governance
MT-DE332DACB15D	一次性口罩	一次性口罩	governance
MT-DE332DACB15D	棉口罩	棉口罩	governance
